,Age_of_Car,Mileage,MPG,Resale_Price
6307,3,37338,31,326133
6308,6,33760,33,214035
6309,2,30002,24,490144
6310,6,31907,29,308369
6311,3,37771,19,577620
6312,3,38236,20,568023
6313,8,31358,32,218957
6314,2,30425,25,481517
6315,6,36952,33,257403
6316,8,32142,29,297573
6317,2,30790,21,611796
6318,5,32016,31,254981
6319,2,38142,25,489949
6320,6,32603,30,356797
6321,5,32553,27,443581
6322,7,38134,22,465048
6323,4,40579,23,510068
6324,2,32788,27,375388
6325,8,30812,28,345246
6326,3,30889,24,480432
6327,5,37376,31,265753
6328,8,30866,23,510114
6329,7,41069,22,475016
6330,5,30460,19,649071
6331,8,33127,23,421417
6332,3,37524,28,335211
6333,4,35171,19,576241
6334,2,41036,27,402960
6335,3,30893,27,412911
6336,4,34151,33,230611
6337,6,40486,31,300639
6338,2,31630,19,677151
6339,2,33569,31,371076
6340,4,39189,18,577580
6341,7,36214,33,228389
6342,2,33220,21,610403
6343,4,36471,25,489424
6344,2,33626,31,347982
6345,2,31205,21,625802
6346,6,31044,24,452291
6347,2,37110,18,621305
6348,8,39515,28,375149
6349,3,41577,22,523493
6350,6,33022,25,416871
6351,7,38976,18,585799
6352,2,36583,26,460996
6353,4,40383,31,294632
6354,7,40713,20,590693
6355,2,36141,25,520321
6356,2,33499,21,624997
6357,2,31597,31,377135
6358,5,35029,28,360267
6359,6,34391,26,380806
6360,6,34627,32,269843
6361,6,39925,33,207374
6362,2,35700,23,556016
6363,3,30097,24,529660
6364,3,36743,33,245310
6365,3,36006,30,365145
6366,2,35823,24,547084
6367,5,30717,18,646604
6368,3,33690,23,474953
6369,4,38298,31,264157
6370,3,40250,33,291692
6371,2,34779,31,364576
6372,5,40880,28,356739
6373,3,37805,28,397231
6374,7,40378,19,572769
6375,2,37384,32,250731
6376,8,34003,25,408895
6377,3,33832,26,421299
6378,6,34052,25,429389
6379,7,31136,21,480195
6380,7,34645,26,443005
6381,4,38135,28,419157
6382,7,35546,23,442847
6383,4,31826,32,248633
6384,7,36743,23,489685
6385,3,38741,20,619497
6386,6,32214,25,441068
6387,2,41082,18,639318
6388,4,39117,22,549590
6389,3,34526,30,316048
6390,8,34502,21,522962
6391,6,38158,27,341986
6392,2,38388,22,537721
6393,4,30659,24,494524
6394,2,37120,25,488350
6395,3,32443,23,505989
6396,4,41652,19,572105
6397,4,34966,20,619722
6398,3,32690,24,459437
6399,3,38174,21,593070
6400,2,36484,19,649607
6401,5,30837,33,294851
6402,6,30627,19,618343
6403,6,41961,29,311188
6404,2,36168,19,644531
6405,4,38020,29,315208
6406,2,41827,28,358214
6407,3,33055,27,373094
6408,7,32656,22,495859
6409,2,37094,26,414202
6410,3,39175,20,621603
6411,3,34912,33,236853
6412,6,33340,22,506609
6413,6,34266,18,663818
6414,4,37328,18,661573
6415,7,40498,27,377007
6416,2,32559,28,359906
6417,7,32562,26,440367
6418,6,38605,18,629931
6419,7,36175,26,348292
6420,3,37770,24,485433
6421,5,41726,22,495983
6422,6,32815,20,594931
6423,3,39891,28,391399
6424,7,39964,19,576329
6425,6,35246,23,455397
6426,6,40150,31,267171
6427,7,37839,18,592537
6428,3,35090,24,474355
6429,2,38011,28,383663
6430,2,40637,33,281949
6431,7,38403,24,453859
6432,2,34448,27,415579
6433,8,35802,32,272380
6434,7,31354,25,434027
6435,8,37282,27,384150
6436,4,41211,29,298513
6437,4,31469,28,423741
6438,2,33345,31,354342
6439,2,37410,31,300838
6440,2,39756,30,378745
6441,2,34650,24,489201
6442,6,40038,21,505284
6443,2,38487,32,330515
6444,3,31860,32,246460
6445,2,37264,19,619474
6446,4,40333,23,472559
6447,6,32917,27,369372
6448,3,33354,26,396202
6449,6,38092,26,438304
6450,2,34873,25,471527
6451,3,37153,28,438836
6452,3,34101,22,513036
6453,6,41813,26,360717
6454,2,40246,23,558953
6455,2,30482,32,324754
6456,6,35940,31,237032
6457,2,36132,31,324656
6458,2,40077,29,334120
6459,2,37938,24,510657
6460,2,36345,25,504326
6461,2,32805,19,636204
6462,8,34436,30,334846
6463,5,39246,33,241935
6464,2,39829,23,490151
6465,6,37564,21,516270
6466,8,30162,19,525579
6467,6,32478,22,507326
6468,3,38562,22,487395
6469,6,38486,25,436708
6470,8,37283,20,491341
6471,8,40336,26,345580
6472,2,38098,20,576921
6473,5,31758,22,550967
6474,2,38861,25,439765
6475,3,41352,25,436690
6476,2,33830,19,623634
6477,6,39554,19,526011
6478,7,33736,23,490321
6479,3,38658,30,284434
6480,2,40051,26,492026
6481,3,33484,20,599529
6482,3,30073,27,402894
6483,8,39691,27,352630
6484,4,31972,32,249235
6485,3,41147,18,597636
6486,6,32900,23,518161
6487,7,35787,25,402115
6488,5,34869,31,244029
6489,8,40572,30,334156
6490,5,36431,20,586901
6491,2,40527,26,396944
6492,2,34656,24,540225
6493,6,34298,24,457984
6494,2,31983,21,541405
6495,3,39311,27,397712
6496,7,38309,23,499753
6497,7,30474,26,423352
6498,7,36564,30,258041
6499,3,30267,20,568932
6500,5,38442,31,292486
6501,3,34081,28,412320
6502,2,34058,21,572751
6503,2,41207,27,412763
6504,3,36962,22,553613
6505,2,41498,29,319924
6506,3,36358,22,571243
6507,7,31417,20,505756
6508,5,38668,25,463179
6509,4,41115,22,574304
6510,3,30363,20,564804
6511,8,32410,25,411132
6512,3,34710,22,568759
6513,2,32341,30,321402
6514,7,30530,31,236444
6515,3,36668,32,290409
6516,8,30929,29,288609
6517,2,32207,22,559791
6518,3,32009,33,227402
6519,5,40399,33,237847
6520,3,36666,28,367501
6521,5,30840,23,453917
6522,3,34677,19,576430
6523,4,33194,31,269671
6524,8,41665,19,556407
6525,3,36028,18,628994
6526,2,31609,26,430403
6527,2,37761,31,307044
6528,3,30691,20,615762
6529,2,30766,19,577719
6530,3,30133,24,535895
6531,2,36500,22,548802
6532,3,32425,33,227818
6533,2,31276,21,561083
6534,6,30652,23,537328
6535,2,33293,25,435095
6536,4,35299,30,356217
6537,7,35049,19,549112
6538,2,33683,22,570750
6539,3,41429,18,644643
6540,3,37104,20,555786
6541,8,34517,26,390298
6542,2,40879,32,240394
6543,6,34245,28,337626
6544,5,36443,22,552599
6545,5,32395,25,438268
6546,4,33942,21,537346
6547,2,36099,32,295987
6548,4,39293,22,532855
6549,2,31244,20,650804
6550,4,34094,25,442056
6551,6,37249,21,499128
6552,8,41950,28,386968
6553,2,39658,28,381168
6554,3,36423,23,484442
6555,7,37895,31,326109
6556,3,32868,25,445565
6557,2,31551,22,588565
6558,2,35702,30,349192
6559,5,32154,27,448717
6560,2,35608,20,633699
6561,6,32472,21,511020
6562,7,39881,24,447241
6563,3,38977,21,518405
6564,8,36462,26,379469
6565,5,34386,19,583430
6566,7,30444,24,435081
6567,2,33607,28,354460
6568,4,37599,22,476563
6569,2,38295,29,327984
6570,3,36478,26,444287
6571,8,41782,23,445823
6572,7,33183,33,210612
6573,5,33048,18,584866
6574,6,31217,25,409784
6575,3,34628,26,454174
6576,2,34325,23,553361
6577,6,40563,29,347676
6578,4,31569,31,270573
6579,2,33707,28,374558
6580,3,30436,29,361734
6581,3,38324,27,363602
6582,7,35762,22,521086
6583,3,38251,18,594808
6584,8,39057,23,432935
6585,5,30161,27,449778
6586,4,40607,33,294273
6587,3,41036,31,344795
6588,3,36062,28,416591
6589,6,35214,33,287864
6590,6,35082,26,428579
6591,6,41123,28,319082
6592,2,30847,23,488440
6593,6,35818,30,281610
6594,3,36209,24,445749
6595,5,38158,20,523881
6596,5,30441,19,553986
6597,2,41836,19,595269
6598,8,30663,25,383043
6599,4,30687,32,288759
6600,2,41498,24,530673
6601,4,40890,18,671814
6602,2,32631,21,557045
6603,6,33904,30,291946
6604,3,30564,26,466178
6605,2,38274,33,309309
6606,3,41760,21,526561
6607,2,35994,20,637175
6608,2,38267,27,418662
6609,2,40468,33,270093
6610,3,40212,22,576159
6611,8,40742,30,330432
6612,4,41746,21,525549
6613,6,40550,27,403532
6614,2,35466,22,497147
6615,2,41246,18,680649
6616,7,36444,25,472762
6617,2,38931,33,220391
6618,8,40930,20,582987
6619,3,41097,19,583268
6620,8,37597,20,539700
6621,7,33766,33,222251
6622,4,32226,24,507737
6623,2,40134,29,399649
6624,6,32440,25,410332
6625,4,39792,27,441572
6626,6,36766,19,565780
6627,3,32977,28,392749
6628,3,36600,29,336592
6629,8,33698,25,382326
6630,6,31601,30,274861
6631,2,37125,22,585086
6632,2,40670,25,459542
6633,3,33875,32,339634
6634,8,41521,22,490949
6635,6,38538,24,471916
6636,2,40206,31,372990
6637,3,38213,32,328656
6638,6,35921,21,546606
6639,6,36704,21,562245
6640,5,41764,29,302203
6641,5,32618,30,301647
6642,7,31297,32,268588
6643,2,37887,23,510605
6644,2,41606,22,556561
6645,2,40116,30,336716
6646,3,33267,26,459990
6647,6,37333,32,209538
6648,2,37607,21,593547
6649,8,40225,23,450940
6650,3,39597,22,490033
6651,2,38469,27,399736
6652,8,41280,24,424043
6653,4,33529,18,679970
6654,8,32305,27,352509
6655,7,30745,33,216338
6656,3,38366,32,319234
6657,2,39748,19,570117
6658,8,31759,32,241979
6659,3,40120,30,353638
6660,3,39192,22,500491
6661,5,32024,21,522016
6662,4,33956,23,497004
6663,4,34764,18,614505
6664,3,41864,19,592606
6665,8,35841,29,304459
6666,2,33971,20,650808
6667,6,37099,24,419076
6668,4,32942,21,601990
6669,2,32493,33,258295
6670,3,34986,21,520986
6671,4,36142,28,406111
6672,8,31347,30,262119
6673,3,38765,23,555178
6674,3,30524,32,285897
6675,6,35074,23,501650
6676,2,41147,32,317391
6677,2,36590,19,662669
6678,3,37537,22,549474
6679,4,38807,32,231112
6680,2,39350,29,345119
6681,6,31351,29,325786
6682,2,33037,20,598029
6683,4,30198,21,611403
6684,6,35289,20,509359
6685,4,35825,30,366379
6686,2,31438,20,567688
6687,2,31527,23,519816
6688,5,40767,31,278384
6689,7,38274,24,470068
6690,5,40928,27,396539
6691,6,39934,30,328637
6692,8,39227,30,243293
6693,2,31431,32,253081
6694,6,40374,25,442847
6695,2,32507,28,398485
6696,2,35491,23,537121
6697,2,33926,25,520706
6698,2,34229,20,587465
6699,7,37661,29,302090
6700,2,34645,25,461566
6701,5,41959,21,565791
6702,2,33529,24,531467
6703,6,40803,20,562079
6704,2,39291,31,358612
6705,2,34144,23,563622
6706,6,32982,22,462982
6707,2,39777,23,488461
6708,7,31863,19,631463
6709,6,35724,33,245516
6710,6,35585,28,350881
6711,2,39934,31,316396
6712,6,40689,21,539888
6713,8,34084,32,215964
6714,4,36736,26,422100
6715,4,35438,26,457615
6716,2,35606,25,517171
6717,2,35776,24,455660
6718,7,33315,20,559156
6719,2,36435,25,428555
6720,7,40015,29,363399
6721,2,34439,26,455965
6722,6,33804,24,477239
6723,8,33134,26,439886
6724,5,39014,22,470575
6725,3,32907,32,329089
6726,2,39964,28,447845
6727,2,41698,28,357469
6728,7,32177,26,375487
6729,3,37003,33,304234
6730,5,33783,24,436268
6731,2,31239,26,432622
6732,7,41670,26,404570
6733,6,38321,22,491490
6734,3,31402,33,264198
6735,8,40434,30,265741
6736,7,31959,24,472570
6737,5,30611,29,365569
6738,2,38414,29,425248
6739,6,36117,33,241005
6740,3,40858,23,516196
6741,5,34141,31,271384
6742,7,37271,22,503267
6743,7,31527,33,254969
6744,2,32757,29,364378
6745,2,40149,22,509691
6746,6,35090,19,634842
6747,4,37992,31,346413
6748,7,40534,24,411326
6749,3,34698,30,340933
6750,2,37053,27,369752
6751,4,41340,24,449006
6752,2,35366,21,547234
6753,2,31748,19,607126
6754,3,36910,33,303155
6755,2,30821,18,647286
6756,4,36939,21,547989
6757,6,36861,24,421162
6758,2,40733,18,634382
6759,2,40980,32,296024
6760,4,40240,33,284028
6761,4,40725,32,299520
6762,5,40339,33,262662
6763,7,37679,30,309761
6764,4,33345,21,510230
6765,2,33667,33,276952
6766,7,30827,31,246364
6767,3,34586,30,287643
6768,5,40264,30,261045
6769,3,40923,24,484305
6770,6,31032,33,246849
6771,2,36751,33,288286
6772,2,31034,22,568950
6773,2,39464,33,225324
6774,2,40134,23,494814
6775,3,40743,23,462283
6776,8,35454,22,511102
6777,6,36949,18,569174
6778,6,31617,27,384382
6779,5,36344,29,391469
6780,7,30349,26,371705
6781,5,38141,21,532786
6782,8,37934,31,249760
6783,2,38453,19,578376
6784,5,37311,33,293020
6785,3,39678,33,278835
6786,6,30451,28,384487
6787,7,37075,26,432852
6788,5,34941,19,551765
6789,3,35664,22,486961
6790,6,38908,18,605754
6791,2,40222,20,622485
6792,5,33755,19,551487
6793,2,38096,22,494171
6794,3,37813,18,653993
6795,2,37697,26,417859
6796,2,31701,23,563057
6797,7,35873,19,621623
6798,2,41328,27,449575
6799,6,34966,19,632700
6800,2,33010,18,671489
6801,7,33496,23,472624
6802,4,33016,31,346615
6803,8,31677,21,469736
6804,2,39766,21,527841
6805,2,39699,19,645456
6806,6,33607,28,391243
6807,2,41427,24,474011
6808,2,39233,29,332512
6809,5,36145,32,318706
6810,7,34208,19,584556
6811,2,35949,33,278461
6812,6,39029,30,262370
6813,7,35550,33,196642
6814,6,38592,31,279381
6815,6,41102,29,340702
6816,5,40083,18,587853
6817,2,33943,27,480501
6818,2,31030,23,577863
6819,3,33434,32,302639
6820,4,38575,23,476444
6821,2,37455,25,505386
6822,2,34905,22,550560
6823,2,41028,27,379629
6824,6,33575,20,610202
6825,3,41233,21,509485
6826,8,38837,21,480352
6827,2,41310,32,247994
6828,7,37411,24,425482
6829,3,36679,33,288031
6830,2,30226,30,379940
6831,5,37082,22,544107
6832,3,41826,23,561640
6833,2,32894,25,423737
6834,6,35413,20,547815
6835,2,31463,18,664169
6836,5,31239,19,615469
6837,3,32341,18,621047
6838,5,37866,26,383438
6839,7,35765,18,585291
6840,6,34067,25,428535
6841,6,39736,30,341636
6842,2,39449,31,356379
6843,4,30799,20,545229
6844,6,31769,24,476047
6845,7,31657,32,277332
6846,2,30456,24,544160
6847,6,35017,20,596157
6848,2,39530,31,344122
6849,3,39478,19,642605
6850,6,38187,26,412181
6851,3,39103,30,360244
6852,2,32573,27,462120
6853,3,33799,30,301240
6854,2,33008,30,404433
6855,5,33597,18,586362
6856,6,36493,32,235279
6857,2,41932,31,310092
6858,8,41535,26,401793
6859,2,40436,25,452421
6860,7,35069,20,569182
6861,2,38336,19,672270
6862,2,36918,32,285395
6863,5,40929,29,306091
6864,5,36673,29,329532
6865,2,41789,26,481587
6866,6,38816,24,499973
6867,5,32674,30,305473
6868,3,41618,25,447817
6869,2,38479,24,497648
6870,2,40308,26,394032
6871,3,34870,21,556781
6872,8,31065,19,601126
6873,2,37340,19,582444
6874,7,30031,31,281123
6875,6,31303,20,550034
6876,7,36008,22,493281
6877,6,40834,18,563477
6878,8,39998,22,439977
6879,3,35204,26,468893
6880,6,32439,31,290578
6881,7,39104,25,407536
6882,3,37851,30,371128
6883,3,30419,24,446371
6884,6,38711,20,550839
6885,3,37250,24,442058
6886,5,31001,24,477936
6887,2,40353,28,414062
6888,5,32953,18,638198
6889,8,38226,28,339046
6890,8,35173,21,517860
6891,2,30030,22,545546
6892,5,33159,29,355829
6893,5,31614,29,342298
6894,2,32270,31,313897
6895,6,33935,22,477119
6896,6,33747,30,267905
6897,2,30064,26,486691
6898,3,36863,20,566650
6899,2,38866,31,285387
6900,8,38482,18,534643
6901,3,38079,19,560590
6902,6,32552,21,497574
6903,6,40063,30,279278
6904,7,41988,21,553966
6905,8,40616,25,399477
6906,8,37500,19,566909
6907,8,38168,27,309266
6908,2,30963,23,539562
6909,7,33885,21,506524
6910,7,37821,30,320651
6911,2,33290,32,280664
6912,3,38392,33,252559
6913,8,39056,26,394885
6914,6,38035,23,535179
6915,2,39593,19,627350
6916,2,40305,20,553703
6917,2,31855,20,571822
6918,2,40204,24,509621
6919,3,39903,27,412874
6920,4,39686,22,516446
6921,6,38294,23,511382
6922,6,35478,28,324381
6923,4,34504,23,521112
6924,8,31576,32,278209
6925,3,36026,29,365134
6926,5,34242,33,230910
6927,6,33358,19,592796
6928,2,41178,27,382062
6929,3,30376,25,516183
6930,6,37118,25,442540
6931,3,35983,26,434665
6932,2,34069,27,377872
6933,3,41452,18,581331
6934,3,31315,22,581471
6935,3,40138,26,435173
6936,5,36554,31,340210
6937,3,38700,31,344385
6938,6,31103,29,286704
6939,6,30866,33,287915
6940,8,38905,21,528558
6941,7,30038,20,539955
6942,5,31849,21,553146
6943,6,39020,32,290204
6944,8,41187,24,436487
6945,3,30246,27,413194
6946,4,34040,24,521649
6947,6,37267,20,541121
6948,2,37141,31,334882
6949,2,39183,33,223005
6950,6,34383,27,330794
6951,4,41945,31,334548
6952,3,30525,20,585004
6953,6,30178,33,199344
6954,3,34611,28,369308
6955,2,32678,30,339998
6956,5,39634,33,187695
6957,8,41711,25,370161
6958,3,35623,25,416220
6959,6,32567,24,447740
6960,6,40818,24,426207
6961,3,32072,20,626971
6962,5,34986,32,254664
6963,6,36191,25,435991
6964,2,31675,22,527341
6965,3,41388,22,559822
6966,6,36500,24,428093
6967,2,37985,30,310145
6968,3,30178,25,434352
6969,8,32007,23,497729
6970,6,35589,22,530742
6971,7,37499,20,538396
6972,2,40171,24,545947
6973,6,40702,29,359729
6974,2,41034,23,516430
6975,4,39704,24,442870
6976,3,34627,25,501979
6977,3,36390,20,585252
6978,2,40829,21,583294
6979,2,37439,19,578897
6980,6,39744,20,561687
6981,5,37930,23,444555
6982,2,36037,18,700107
6983,3,40125,26,412341
6984,2,33284,21,625040
6985,6,33962,30,346607
6986,6,36537,21,501601
6987,4,37630,32,273687
6988,2,34264,19,574592
6989,6,35141,18,652881
6990,6,34828,26,382514
6991,4,36523,19,593400
6992,2,37485,32,338046
6993,6,33088,32,270184
6994,2,33258,28,393444
6995,5,38436,31,264355
6996,3,31130,22,506375
6997,2,33963,21,585406
6998,3,41641,23,504212
6999,7,32340,26,457515
7000,6,37804,20,596056
7001,2,35937,22,496951
7002,2,34440,19,634900
7003,2,30838,30,322311
7004,4,37569,23,486566
7005,5,41063,26,362441
7006,6,36787,31,276047
7007,4,37975,18,652073
7008,6,41857,23,526553
7009,3,34625,32,251327
7010,2,31985,27,459767
7011,2,41102,26,495727
7012,5,39948,22,463884
7013,5,31689,20,533476
7014,6,34975,28,382711
7015,6,40288,21,484957
7016,2,39438,33,302886
7017,7,40101,32,252934
7018,6,31954,30,315360
7019,6,30071,18,625366
7020,6,36542,31,288733
7021,5,34919,20,534495
7022,8,34327,28,342268
7023,8,33956,20,507979
7024,7,33623,28,372502
7025,3,35522,21,603354
7026,6,39947,24,417080
7027,7,41943,25,418830
7028,4,33445,26,441368
7029,6,30736,23,461800
7030,4,38729,20,608493
7031,7,30043,32,244735
7032,6,36123,29,288471
7033,8,30653,20,568449
7034,6,38035,25,444338
7035,2,38623,18,671666
7036,7,35029,24,488189
7037,2,37336,22,600721
7038,3,34383,27,450765
7039,2,30702,18,654394
7040,4,36215,31,327123
7041,2,34093,30,349259
7042,3,41635,30,280986
7043,8,41783,32,198839
7044,4,32475,24,488490
7045,3,41759,23,513513
7046,6,38720,30,303836
7047,3,41328,22,525327
7048,2,35132,18,697286
7049,6,40627,32,206987
7050,2,40470,28,374161
7051,7,37335,23,481286
7052,3,41069,33,246389
7053,6,41089,22,488507
7054,6,39070,20,590429
7055,2,41173,24,545755
7056,2,31868,21,577921
7057,5,33388,26,462135
7058,2,30303,30,345156
7059,6,34998,27,348085
7060,5,31417,28,366245
7061,3,31510,31,357504
7062,2,33301,22,589852
7063,2,35136,18,684204
7064,6,32950,32,295358
7065,8,37239,25,358660
7066,4,41057,31,331959
7067,7,38667,21,532544
7068,2,39771,25,497708
7069,2,31323,19,654458
7070,7,33208,23,428345
7071,3,31372,23,492553
7072,8,39720,24,429722
7073,4,36634,31,318094
7074,2,38594,33,249275
7075,8,33912,33,211721
7076,3,37912,32,322143
7077,4,38884,33,244153
7078,3,34331,28,371714
7079,6,31233,28,389288
7080,8,34328,25,439543
7081,2,41585,24,504285
7082,3,31321,29,316214
7083,3,38135,25,452020
7084,3,33992,24,479707
7085,2,30837,23,537261
7086,8,35338,19,549049
7087,5,38704,30,263899
7088,3,37689,27,408896
7089,3,33249,30,320112
7090,2,38764,25,506377
7091,5,40232,21,577127
7092,3,32803,20,543207
7093,3,39507,28,409046
7094,5,32932,30,277467
7095,3,37512,28,439037
7096,3,38364,33,289925
7097,2,35202,18,617105
7098,5,37890,29,364880
7099,6,30494,30,274093
7100,3,41728,20,547904
7101,6,37723,28,409177
7102,6,34373,18,575341
7103,5,32085,21,504272
7104,6,35273,31,297644
7105,3,41144,20,605363
7106,5,32241,26,472685
7107,3,37001,30,369548
7108,5,32310,32,246290
7109,3,41339,28,368395
7110,3,32389,18,671756
7111,6,37756,32,243718
7112,2,38730,22,554196
7113,8,38344,32,261610
7114,6,34797,24,514514
7115,6,39128,28,380525
7116,6,32986,24,444690
7117,4,40249,28,363459
7118,3,30328,30,350912
7119,4,32860,19,649698
7120,6,33793,30,285375
7121,7,41352,32,281645
7122,3,40931,27,436404
7123,3,31675,31,294800
7124,3,34415,22,543919
7125,2,40730,28,392475
7126,3,30781,20,611775
7127,2,31589,32,254146
7128,7,36961,25,450744
7129,2,35572,21,538255
7130,6,37649,26,379518
7131,7,39228,20,564896
7132,6,31624,26,381028
7133,2,40880,28,433915
7134,6,40590,24,431560
7135,6,40685,26,417072
7136,3,38483,29,394721
7137,6,38175,20,510806
7138,2,33252,21,578960
7139,3,32432,28,348636
7140,8,32407,31,225171
7141,5,37979,20,554105
7142,8,41036,28,343486
7143,3,36609,30,309154
7144,3,34060,24,522471
7145,2,38659,29,328795
7146,6,33535,32,260611
7147,5,39509,20,597816
7148,4,40050,24,493174
7149,2,39864,29,316399
7150,3,37708,33,244954
7151,5,35090,25,401321
7152,6,31948,19,574298
7153,2,40274,31,306369
7154,6,38061,33,254454
7155,2,31646,30,344714
7156,7,33382,19,530920
7157,5,33442,23,550873
7158,4,38064,30,303319
7159,8,40541,31,234366
7160,4,34076,22,492654
7161,7,41835,27,360830
7162,7,41769,22,513493
7163,3,37429,33,237128
7164,3,35862,26,469840
7165,3,34238,24,543863
7166,3,32323,20,610895
7167,4,37246,21,544564
7168,8,36730,24,421604
7169,6,39593,20,562390
7170,2,39444,22,571104
7171,2,30412,29,406392
7172,7,34334,23,451723
7173,2,33484,30,338320
7174,3,36705,22,516165
7175,5,30935,21,598738
7176,4,32003,33,262733
7177,2,30511,30,353713
7178,3,39736,30,367085
7179,6,31685,31,319326
7180,3,32163,27,420064
7181,6,35585,31,308818
7182,6,31497,19,572458
7183,2,30491,27,468012
7184,2,38320,21,595308
7185,2,37125,26,475691
7186,3,37844,25,413781
7187,8,35333,32,200370
7188,2,41232,33,217591
7189,6,41333,21,527022
7190,8,36062,22,513944
7191,6,32910,26,413772
7192,6,39125,18,565158
7193,3,39659,21,571539
7194,6,31123,21,558371
7195,3,33579,23,474146
7196,2,40702,30,398720
7197,2,31887,21,599044
7198,3,37065,29,321277
7199,3,31063,26,496493
7200,4,37315,32,306898
7201,8,30585,29,306776
7202,7,36802,31,270785
7203,3,41280,28,423787
7204,8,34250,30,266083
7205,6,32371,31,274622
7206,8,35373,24,396417
7207,7,39377,27,340566
7208,2,33345,27,415452
7209,6,31927,29,349750
7210,6,37447,25,444307
7211,4,35541,25,490914
7212,8,33333,28,349368
7213,7,33877,30,258097
7214,5,39652,23,540485
7215,2,39596,20,609306
7216,2,31682,23,540552
7217,7,32300,19,526622
7218,6,40447,28,336587
7219,2,40715,23,559119
7220,2,36559,24,471338
7221,3,33085,29,322528
7222,3,38313,28,436938
7223,5,32174,31,329895
7224,2,33536,19,641636
7225,7,35128,24,425936
7226,4,39485,25,498798
7227,6,34910,18,654029
7228,5,39108,25,476682
7229,5,34031,27,418801
7230,6,38359,28,358628
7231,2,34866,20,564661
7232,5,32884,18,617448
7233,2,39993,28,401684
7234,2,41157,30,295725
7235,6,41308,20,532135
7236,2,31389,29,378294
7237,5,33290,28,387019
7238,7,35300,32,222793
7239,6,38638,20,573680
7240,6,31952,32,212508
7241,5,41988,26,405270
7242,4,38365,32,308735
7243,2,37233,22,506395
7244,4,41920,32,271680
7245,2,33627,21,613752
7246,3,31321,29,369115
7247,5,38168,28,361317
7248,6,39789,29,350368
7249,3,39508,26,387722
7250,2,41549,18,666020
7251,3,32889,20,641031
7252,2,31589,30,401011
7253,7,37974,20,549233
7254,7,34850,33,185907
7255,3,35587,26,425589
7256,3,41445,29,391677
7257,3,37839,20,581499
7258,6,38413,25,465829
7259,2,32425,20,649620
7260,8,41465,26,341009
7261,4,32939,30,373240
7262,4,36866,21,570781
7263,4,39380,32,242245
7264,6,41333,29,355591
7265,3,40024,32,301815
7266,5,30009,26,424131
7267,2,39319,26,402555
7268,4,31007,22,569464
7269,5,40299,25,434296
7270,2,32291,23,505997
7271,3,32692,32,335929
7272,2,40886,21,615127
7273,4,38273,21,577465
7274,8,40226,26,357183
7275,2,40940,22,561556
7276,3,38879,30,294555
7277,3,36682,19,582977
7278,6,38999,19,587885
7279,8,38315,19,576973
7280,8,38148,21,559651
7281,3,37612,26,472514
7282,8,40566,20,564599
7283,3,37251,19,649780
7284,2,37507,30,327631
7285,8,37837,21,525934
7286,4,39040,22,502162
7287,2,40551,21,546740
7288,3,39248,18,638654
7289,5,31435,27,349669
7290,6,34829,28,404304
7291,2,31755,33,230868
7292,2,37474,32,274546
7293,7,40469,27,424154
7294,2,33273,18,631871
7295,4,34010,27,390635
7296,2,36888,19,582229
7297,3,36314,32,308286
7298,6,31170,21,591751
7299,8,35938,20,516037
7300,7,41483,25,389565
7301,6,36714,30,323782
7302,8,34282,20,552073
7303,6,41175,18,615942
7304,6,41467,23,502926
7305,7,35290,29,297833
7306,2,36417,18,667685
7307,2,31052,33,300175
7308,8,38325,25,435390
7309,2,39960,23,477846
7310,7,37492,32,205373
7311,2,32151,32,320725
7312,6,41765,28,357475
7313,4,35328,25,494947
7314,3,40485,23,510856
7315,7,40487,33,171151
7316,3,33445,32,303303
7317,4,37234,27,402713
7318,3,41901,20,529427
7319,3,37550,29,372008
7320,3,41916,28,432140
7321,5,36417,30,366250
7322,6,33333,27,375803
7323,2,40047,33,318247
7324,2,39063,29,372608
7325,2,30646,24,496808
7326,7,37370,23,444972
7327,3,32666,20,590543
7328,8,30997,20,576282
7329,3,37807,21,531850
7330,3,37531,27,438727
7331,2,32392,23,569143
7332,6,41506,29,290221
7333,3,33787,18,674553
7334,8,36287,30,273006
7335,3,39789,33,281635
7336,3,36822,22,498736
7337,2,32795,26,468755
7338,2,35810,30,337075
7339,3,41224,18,678354
7340,2,35952,21,604517
7341,3,30940,21,587564
7342,6,36972,20,539929
7343,8,30707,20,523644
7344,2,30192,22,507525
7345,3,34086,18,683525
7346,8,32376,32,201593
7347,2,41892,29,331202
7348,3,38278,22,502823
7349,5,36132,22,523848
7350,2,32398,27,383609
7351,3,37525,23,530968
7352,2,37790,29,352829
7353,4,34049,33,279486
7354,8,37277,30,292064
7355,2,40441,21,591528
7356,2,33763,27,393967
7357,6,37623,19,571022
7358,2,31804,29,377255
7359,3,40477,23,499978
7360,7,32451,24,505138
7361,3,40438,25,462911
7362,3,38414,22,511916
7363,6,37892,28,360661
7364,3,40065,33,219757
7365,6,41481,28,380441
7366,6,41101,28,339036
7367,4,39426,26,383800
7368,4,37027,31,326825
7369,5,34092,24,422840
7370,2,36741,27,409960
7371,7,30786,30,358032
7372,4,41843,31,308850
7373,6,37952,28,318740
7374,7,34845,22,505782
7375,2,37204,19,571235
7376,8,36429,30,317301
7377,8,31300,20,501030
7378,5,31281,27,380500
7379,7,37004,25,382899
7380,5,36682,28,319300
7381,6,36960,31,313163
